colony,depth,photo,n,polyp_dist_mm,calyx_width_mm
5,Deep,2,94,3.615,1.661
5,Deep,2,95,4.216,1.745
5,Deep,2,96,2.948,1.515
5,Deep,2,97,4.147,1.768
5,Deep,2,98,4.572,1.199
5,Deep,2,99,3.536,1.919
5,Deep,2,100,4.123,2.258
5,Deep,2,101,2.678,1.478
5,Deep,1,102,2.613,1.703
5,Deep,1,103,3.251,1.91
5,Deep,1,104,3.526,2.034
5,Deep,1,105,3.662,1.576
5,Deep,1,106,4.715,1.976
5,Deep,1,107,3.558,1.973
5,Deep,1,108,3.7,1.638
5,Deep,1,109,3.472,1.336
6,Deep,4,58,3.958,1.821
6,Deep,4,59,3.139,2.229
6,Deep,4,60,5.423,1.976
6,Deep,4,61,3.576,2.265
6,Deep,4,62,2.503,1.957
6,Deep,4,63,,1.553
6,Deep,3,64,3.357,1.577
6,Deep,3,65,3.264,1.18
6,Deep,3,66,2.539,1.694
6,Deep,3,67,3.081,2.138
6,Deep,3,68,2.919,1.563
6,Deep,3,69,3.309,1.587
6,Deep,3,70,3.018,1.735
6,Deep,3,71,3.509,1.689
6,Deep,3,72,,2.137
6,Deep,2,73,2.753,2.181
6,Deep,2,74,3.855,1.544
6,Deep,2,75,3.713,1.711
6,Deep,2,76,3.323,1.886
6,Deep,2,77,3.767,1.86
6,Deep,2,78,3.338,1.866
6,Deep,2,79,4.051,1.463
6,Deep,2,80,2.909,2.069
6,Deep,2,81,3.026,1.795
6,Deep,2,82,3.413,1.891
6,Deep,2,83,2.981,1.446
6,Deep,2,84,2.905,1.602
6,Deep,1,85,3.647,1.676
6,Deep,1,86,3.306,1.752
6,Deep,1,87,2.81,1.6
6,Deep,1,88,3.818,1.967
6,Deep,1,89,2.717,1.645
6,Deep,1,90,4.01,1.807
6,Deep,1,91,3.753,1.633
6,Deep,1,92,2.532,1.788
6,Deep,1,93,3.418,2.009
12,Deep,2,43,4.292,1.9
12,Deep,2,44,2.947,2.013
12,Deep,2,45,3.325,1.942
12,Deep,2,46,4.21,2.169
12,Deep,2,47,3.562,2.147
12,Deep,2,48,3.646,1.941
12,Deep,2,49,,1.683
12,Deep,1,50,3.188,1.415
12,Deep,1,51,4.064,1.598
12,Deep,1,52,4.18,1.811
12,Deep,1,53,4.071,1.561
12,Deep,1,54,4.181,1.771
12,Deep,1,55,3.77,2.148
12,Deep,1,56,,1.389
12,Deep,1,57,,1.686
13,Deep,2,27,2.325,1.995
13,Deep,2,28,5.321,2.111
13,Deep,2,29,3.592,1.746
13,Deep,2,30,2.656,1.671
13,Deep,2,31,5.298,1.993
13,Deep,2,32,5.779,1.912
13,Deep,2,33,,1.739
13,Deep,1,34,3.601,1.588
13,Deep,1,35,3.443,1.994
13,Deep,1,36,2.418,1.82
13,Deep,1,37,4.86,2.037
13,Deep,1,38,3.344,1.817
13,Deep,1,39,4.006,1.966
13,Deep,1,40,,1.411
13,Deep,1,41,,1.607
13,Deep,1,42,,2.334
14,Deep,3,13,4.259,1.968
14,Deep,3,14,5.65,2.414
14,Deep,3,15,3.728,2.116
14,Deep,3,16,2.847,2.156
14,Deep,3,17,4.334,2.259
14,Deep,2,18,2.882,2.418
14,Deep,2,19,3.641,1.922
14,Deep,2,20,3.961,1.885
14,Deep,2,21,,2.292
14,Deep,1,22,2.727,1.917
14,Deep,1,23,3.496,2.525
14,Deep,1,24,3.526,1.763
14,Deep,1,25,3.336,1.991
14,Deep,1,26,,2.036
30,Deep,4,209,3.494,1.793
30,Deep,4,210,3.438,1.352
30,Deep,4,211,3.477,1.882
30,Deep,4,212,4.239,1.539
30,Deep,4,213,3.854,1.755
30,Deep,4,214,4.336,1.42
30,Deep,4,215,3.467,1.494
30,Deep,4,216,2.989,1.112
30,Deep,4,217,2.825,1.651
30,Deep,4,218,3.511,1.762
30,Deep,4,219,3.49,
30,Deep,4,220,3.378,
30,Deep,3,221,3.623,1.622
30,Deep,3,222,3.417,1.808
30,Deep,3,223,3.882,1.459
30,Deep,3,224,3.558,1.829
30,Deep,3,225,3.429,1.529
30,Deep,3,226,3.366,1.82
30,Deep,3,227,3.792,1.402
30,Deep,3,228,3.411,1.774
30,Deep,3,229,2.961,1.529
30,Deep,3,230,4.218,1.182
30,Deep,2,231,2.934,1.137
30,Deep,2,232,2.466,0.886
30,Deep,2,233,2.222,1.398
30,Deep,2,234,3.25,1.542
30,Deep,2,235,3.352,1.087
30,Deep,2,236,3.123,1.11
30,Deep,2,237,1.918,1.694
30,Deep,2,238,3.508,1.553
30,Deep,2,239,3.604,1.56
30,Deep,2,240,2.695,1.216
30,Deep,2,241,,1.753
30,Deep,2,242,,1.524
30,Deep,1,243,3.333,1.377
30,Deep,1,244,3.651,1.504
30,Deep,1,245,5.567,1.205
30,Deep,1,246,3.738,1.557
30,Deep,1,247,3.448,1.639
30,Deep,1,248,2.592,1.526
30,Deep,1,249,3.292,1.27
30,Deep,1,250,3.097,0.926
30,Deep,1,251,3.851,1.163
30,Deep,1,252,3.12,1.497
32,Deep,3,157,2.783,1.628
32,Deep,3,158,4.077,1.638
32,Deep,3,159,4.305,1.617
32,Deep,3,160,5.98,1.721
32,Deep,3,161,3.473,1.448
32,Deep,3,162,4.621,1.415
32,Deep,3,163,3.579,1.526
32,Deep,3,164,4.121,1.625
32,Deep,3,165,4.349,1.536
32,Deep,3,166,,1.756
32,Deep,2,167,3.391,1.412
32,Deep,2,168,3.838,1.444
32,Deep,2,169,3.827,1.291
32,Deep,2,170,3.682,1.331
32,Deep,2,171,4.831,1.386
32,Deep,2,172,4.455,1.547
32,Deep,2,173,,1.362
32,Deep,2,174,,1.41
32,Deep,2,175,,1.593
32,Deep,1,176,4.225,1.791
32,Deep,1,177,4.684,1.647
32,Deep,1,178,3.358,1.78
32,Deep,1,179,4.286,2.023
32,Deep,1,180,4.371,1.603
32,Deep,1,181,2.984,1.73
32,Deep,1,182,3.643,1.69
32,Deep,1,183,3.954,1.771
32,Deep,1,184,4.256,
