colony,depth,septa_width,septa_dist,cenosarc_spine_dist,polyp_diameter,centre_diameter
14,Deep,124.486,259.74,134.765,2699.23,731.271
14,Deep,170.817,317.287,138.078,2628.24,658.989
14,Deep,89.45,455.62,126.821,2370.353,
14,Deep,135.464,264.502,61.575,2738.934,
14,Deep,192.729,329.478,78.612,2309.2,
14,Deep,150.284,247.256,143.305,2574.546,
14,Deep,290.092,271.725,101.863,,
14,Deep,215.063,290.353,130.181,,
14,Deep,283.759,407.873,107.628,,
14,Deep,154.891,226.765,113.159,,
14,Deep,265.483,297.82,53.712,,
14,Deep,259.341,241.86,65.031,,
14,Deep,139.535,312.009,76.026,,
14,Deep,250.748,279.689,59.034,,
14,Deep,133.538,187.09,62.936,,
14,Deep,107.017,230.924,59.481,,
14,Deep,234.529,227.34,57.987,,
14,Deep,71.977,282.299,95.603,,
14,Deep,82.337,363.453,116.078,,
14,Deep,98.334,274.597,79.237,,
14,Deep,155.652,381.036,62.518,,
14,Deep,170.814,375.191,102.396,,
14,Deep,196.041,307.977,61.583,,
14,Deep,166.392,239.202,94.776,,
14,Deep,216.924,294.115,62.454,,
14,Deep,133.365,316.228,,,
14,Deep,170.814,412.142,,,
14,Deep,141.795,248.113,,,
14,Deep,144.747,,,,
14,Deep,112.884,,,,
14,Deep,156.507,,,,
14,Deep,156.338,,,,
14,Deep,156.633,,,,
14,Deep,60.183,,,,
14,Deep,108.465,,,,
14,Deep,164.616,,,,
5,Deep,118.234,436.423,,2484.288,615.686
5,Deep,112.16,340.725,,2229.056,639.156
5,Deep,158.811,406.88,,2258.534,869.393
5,Deep,181.073,346.521,,2383.162,488.032
5,Deep,205.462,322.166,,,
5,Deep,128.038,333.91,,,
5,Deep,157.84,291.492,,,
5,Deep,122.137,268.334,,,
5,Deep,107.683,399.327,,,
5,Deep,168.81,408.39,,,
5,Deep,168.445,268.201,,,
5,Deep,98.625,179.457,,,
5,Deep,58.1,215.135,,,
5,Deep,188.058,201.095,,,
5,Deep,123.762,172.782,,,
5,Deep,90.796,153.178,,,
5,Deep,65.89,186.835,,,
5,Deep,55.874,171.82,,,
5,Deep,49.386,,,,
5,Deep,57.339,,,,
5,Deep,73.518,,,,
31,Shallow,164.938,194.614,34.015,1747.154,428.065
31,Shallow,143.332,134.174,100.13,1344.13,394.35
31,Shallow,105.257,149.492,152.535,2094.444,
31,Shallow,100.027,170.426,181.526,1951.318,
31,Shallow,156.696,115.069,219.698,,
31,Shallow,159.536,155.08,165.707,,
31,Shallow,96.232,143.638,165.994,,
31,Shallow,200.346,143.821,246.225,,
31,Shallow,177.557,261.601,120.536,,
31,Shallow,155.509,327.398,35,,
31,Shallow,205.275,320.035,44.102,,
31,Shallow,109.383,289.506,41.4,,
31,Shallow,152.941,350.493,40.112,,
31,Shallow,,536.668,50,,
31,Shallow,,,35.511,,
33,Shallow,94.874,164.485,136.046,1838.993,999.896
33,Shallow,206.552,163.214,147.279,1627.355,836.585
33,Shallow,183.871,165.021,103.956,1963.55,752.477
33,Shallow,224.072,227.779,114.374,1743.672,872.966
33,Shallow,174.313,243.458,129.792,,
33,Shallow,80.727,136.792,66.688,,
33,Shallow,167.161,149.676,138.29,,
33,Shallow,113.482,148.4,156.703,,
33,Shallow,136.919,162.015,104.166,,
33,Shallow,120.536,203.619,110.042,,
33,Shallow,257.353,180.87,144.444,,
33,Shallow,154.212,129.253,96.425,,
33,Shallow,151.724,144.745,113.94,,
33,Shallow,178.413,210.458,163.039,,
33,Shallow,172.724,241.478,114.43,,
33,Shallow,,197.397,98.209,,
33,Shallow,,,133.593,,
33,Shallow,,,97.043,,
