Valine,Leucine,Isoleucine,Methionine,Phenylalanine,Depth,H_S,Type,Trophic Position
-22.1152,-23.34841667,-17.9769,-23.64016,-21.99871111,Shallow,Host,ShallowHost,2.680794273
-33.4618,-20.99704167,-19.28654167,-25.972,-23.62333333,Shallow,Host,ShallowHost,3.170552269
-23.6122,-21.225625,-29.68654167,-19.5724,-20.99311111,Shallow,Host,ShallowHost,2.041355903
-25.27024,-22.45856667,-19.6877,-12.892,-20.9356,Shallow,Host,ShallowHost,2.838991079
-22.2262,-22.25641667,-14.740875,-24.1714,-23.63355556,Shallow,Host,ShallowHost,3.559120705
-29.91904,-24.95305,-14.216,-21.50944,-22.10857778,Shallow,Symbiont,ShallowSymbiont,2.183056476
-27.9058,-23.27420833,-25.914375,-20.7412,-20.18422222,Shallow,Symbiont,ShallowSymbiont,1.90227837
-27.4018,-24.66033333,-22.75429167,-22.0294,-21.19088889,Shallow,Symbiont,ShallowSymbiont,2.04185022
-24.7714,-26.48206667,-19.16076667,-18.84208,-24.73008889,Shallow,Symbiont,ShallowSymbiont,1.858240749
-29.14144,-26.41988333,-16.13891667,-25.35544,-21.79835556,Deep,Host,DeepHost,2.58727254
-28.96528,-25.76966667,-23.6631,-28.6174,-24.038,Deep,Host,DeepHost,3.449732885
-22.5502,-25.20091667,-16.80895833,-23.5354,-24.66022222,Deep,Host,DeepHost,2.926428194
-31.57984,-26.56613333,-25.80203333,-19.55344,-25.00671111,Deep,Host,DeepHost,2.082102937
-29.74744,-26.94855,-13.1435,-20.97184,-21.3228,Deep,Symbiont,DeepSymbiont,2.356925536
-30.86848,-27.10433333,-24.9241,-28.8502,-25.99177778,Deep,Symbiont,DeepSymbiont,2.361748488
-29.20864,-25.92956667,-24.7252,-15.064,-22.48226667,Deep,Symbiont,DeepSymbiont,2.245763877
-22.093,-25.54823333,-18.58551667,-20.08648,-23.28475556,Deep,Symbiont,DeepSymbiont,2.02428326
