id,Part_Dis,Host_Sym_Tot,depth,N_cm,C_cm
5,p,h,deep,1.115750138,5.523918685
12,p,h,deep,0.187904493,1.59730964
13,p,h,deep,0.406021139,3.389810967
14,p,h,deep,2.893189435,16.84481587
25,p,h,shallow,4.924623368,103.8250628
27,p,h,shallow,5.55151808,91.29136626
29,p,h,shallow,5.971332488,116.1507029
50,p,h,shallow,3.191775866,
5,p,s,deep,0.513261671,
12,p,s,deep,0.453461828,11.59724908
13,p,s,deep,0.449223668,6.402276527
14,p,s,deep,2.62001539,21.73903649
25,p,s,shallow,4.714759145,244.3081969
27,p,s,shallow,5.899362635,151.0810225
29,p,s,shallow,6.175480122,225.2914986
50,p,s,shallow,3.632005583,
5,p,t,deep,1.629011809,5.991032609
12,p,t,deep,0.641366321,13.19455872
13,p,t,deep,0.855244807,9.792087494
14,p,t,deep,5.513204824,38.58385236
25,p,t,shallow,9.639382514,348.1332597
27,p,t,shallow,11.45088071,242.3723887
29,p,t,shallow,12.14681261,341.4422015
50,p,t,shallow,6.823781449,
5,d,h,deep,0.110646853,
6,d,h,deep,0.035598291,0.621253793
12,d,h,deep,0.075613753,1.325536427
13,d,h,deep,0.166171414,3.408749413
14,d,h,deep,0.130099755,1.71900164
25,d,h,shallow,0.044652239,0.557057837
27,d,h,shallow,0.022209552,0.656728408
28,d,h,shallow,0.178357058,3.904971584
5,d,s,deep,0.352270661,57.90132795
6,d,s,deep,0.101145365,20.37508236
12,d,s,deep,0.237045405,34.3026853
13,d,s,deep,0.369771065,60.81293397
14,d,s,deep,0.294524307,38.90685257
25,d,s,shallow,0.107861537,21.89192252
27,d,s,shallow,0.105912008,24.63300614
28,d,s,shallow,0.250810966,52.1117794
5,d,t,deep,0.462917514,57.90342162
6,d,t,deep,0.136743657,20.99633616
12,d,t,deep,0.312659159,35.62822173
13,d,t,deep,0.535942479,64.22168338
14,d,t,deep,0.424624062,40.6258542
25,d,t,shallow,0.152513776,22.44898036
27,d,t,shallow,0.12812156,25.28973454
28,d,t,shallow,0.429168024,56.01675098
