sample,species,depth,ug_protein,surface,calcification_cm,calcification_pro,chl,cells,chl.cell,cell.protein,protein.cm,cell.cm,chl.cm
5,Oculina,deep,631.14,19.811,0.676,13.51,24.612,16990000,1.448616833,26.91954242,31.85805865,0.85760436,1.242340114
6,Oculina,deep,358.64,6.295,,,10.312,7770000,1.327155727,21.66517957,56.97220016,1.23431295,1.638125496
12,Oculina,deep,253.36,7.994,,,11.1,6990000,1.587982833,27.58920114,31.69377033,0.8744058,1.388541406
13,Oculina,deep,917.81,4.288,0.265,9.182,29.94,8670000,3.453287197,9.446399582,214.0415112,2.02192164,6.982276119
14,Oculina,deep,390.31,,0.69,19.443,5.472,1072000,5.104477612,2.746534806,,,
27,Oculina,shallow,1087.53,22.802,0.951,11.732,25.7,13580000,1.892488954,12.48701185,47.69450048,0.59556179,1.127094115
28,Oculina,shallow,538.36,9.811,0.374,6.689,4.884,2735000,1.785740402,5.080243703,54.87310162,0.27876873,0.497808582
29,Oculina,shallow,307.81,0.883,-0.544,-19.31,6.328,1370000,4.618978102,4.45079757,348.5956965,1.55152888,7.166477916
31,Oculina,shallow,1143.36,6.793,,,39.492,2510000,15.73386454,2.195284075,168.3144413,0.36949801,5.81363168
33,Oculina,shallow,769.75,5.121,,,32.396,8670000,3.73656286,11.26339721,150.312439,1.69302871,6.326108182
34,Oculina,shallow,1035.58,7.861,,,20.228,8750000,2.311771429,8.449371367,131.7364203,1.11308994,2.573209515
50,Oculina,shallow,1305.58,,,,,4010000,,3.071431854,,,
