id,depth,alpha,beta,ETRmax,Ek,ps,fvfm
31,shallow,0.636740564,0.100060305,67.8821704,106.608836,107.4982829,0.599
12,deep,0.567480109,2.629086121,71.78445058,126.4968576,1000,0.596
14,deep,0.564913217,2.667728225,70.55102956,124.8882616,1000,0.588
5,deep,0.47834947,0,27.24427279,56.95474651,27.24427279,0.571
28,shallow,0.745658041,3.361128611,73.58675208,98.68699602,1000,0.636
25,shallow,0.571296809,0.08496467,46.10698787,80.70583826,71.78329698,0.602
27,shallow,0.623535013,3.897239989,54.54870593,87.48298773,1000,0.624
6,deep,0.794381025,3.360311485,77.91959184,98.08843541,1000,0.642
13,deep,0.710202151,3.085911431,76.06319545,107.1007674,1000,0.645
26,shallow,0.487054499,4.03876063,41.86407808,85.9535805,1000,0.553
29,shallow,0.716906629,2.165824651,104.8333393,146.2301157,1000,0.624
33,shallow,0.575782256,0.273135992,48.01592178,83.3925,121.2315732,0.601
34,shallow,0.572105322,0.449035527,58.31584066,101.9320018,198.3563946,0.658
