species,colony,PAR,rETR
oculina,31,0,0
oculina,31,1,0.599
oculina,31,21,11.613
oculina,31,56,28.28
oculina,31,111,47.064
oculina,31,186,60.822
oculina,31,281,69.407
oculina,31,336,65.184
oculina,31,396,66.528
oculina,31,461,62.696
oculina,31,531,66.906
oculina,31,611,60.489
oculina,31,701,53.276
oculina,12,0,0
oculina,12,1,0.569
oculina,12,21,10.752
oculina,12,56,26.6
oculina,12,111,43.623
oculina,12,186,58.776
oculina,12,281,68.564
oculina,12,336,77.616
oculina,12,396,74.844
oculina,12,461,71.916
oculina,12,531,56.286
oculina,12,611,0
oculina,12,701,0
oculina,14,0,0
oculina,14,1,0.567
oculina,14,21,10.626
oculina,14,56,26.32
oculina,14,111,43.734
oculina,14,186,59.52
oculina,14,281,66.597
oculina,14,336,73.92
oculina,14,396,75.24
oculina,14,461,69.611
oculina,14,531,55.755
oculina,14,611,0
oculina,14,701,0
oculina,5,0,0
oculina,5,1,0.55
oculina,5,21,8.757
oculina,5,56,17.64
oculina,5,111,22.533
oculina,5,186,25.854
oculina,5,281,25.571
oculina,5,336,27.888
oculina,5,396,28.116
oculina,5,461,27.66
oculina,5,531,0
oculina,5,611,0
oculina,5,701,0
oculina,28,0,0
oculina,28,1,0.607
oculina,28,21,11.865
oculina,28,56,29.96
oculina,28,111,51.726
oculina,28,186,70.308
oculina,28,281,75.589
oculina,28,336,76.272
oculina,28,396,70.488
oculina,28,461,61.313
oculina,28,531,47.79
oculina,28,611,0
oculina,28,701,0
oculina,25,0,0
oculina,25,1,0.567
oculina,25,21,10.731
oculina,25,56,24.976
oculina,25,111,36.63
oculina,25,186,44.268
oculina,25,281,43.274
oculina,25,336,48.384
oculina,25,396,43.56
oculina,25,461,39.185
oculina,25,531,0
oculina,25,611,0
oculina,25,701,0
oculina,27,0,0
oculina,27,1,0.606
oculina,27,21,11.676
oculina,27,56,27.888
oculina,27,111,43.401
oculina,27,186,52.824
oculina,27,281,52.266
oculina,27,336,52.752
oculina,27,396,48.312
oculina,27,461,39.646
oculina,27,531,0
oculina,27,611,0
oculina,27,701,0
oculina,6,0,0
oculina,6,1,0.625
oculina,6,21,12.138
oculina,6,56,30.296
oculina,6,111,51.615
oculina,6,186,71.61
oculina,6,281,84.3
oculina,6,336,89.376
oculina,6,396,74.448
oculina,6,461,59.93
oculina,6,531,46.728
oculina,6,611,0
oculina,6,701,0
oculina,13,0,0
oculina,13,1,0.625
oculina,13,21,12.096
oculina,13,56,29.568
oculina,13,111,49.062
oculina,13,186,67.89
oculina,13,281,79.523
oculina,13,336,80.304
oculina,13,396,75.24
oculina,13,461,70.072
oculina,13,531,58.941
oculina,13,611,45.825
oculina,13,701,0
oculina,26,0,0
oculina,26,1,0.541
oculina,26,21,9.471
oculina,26,56,22.064
oculina,26,111,33.078
oculina,26,186,39.804
oculina,26,281,42.712
oculina,26,336,39.648
oculina,26,396,34.056
oculina,26,461,0
oculina,26,531,0
oculina,26,611,0
oculina,26,701,0
oculina,29,0,0
oculina,29,1,0.598
oculina,29,21,11.655
oculina,29,56,29.624
oculina,29,111,53.28
oculina,29,186,78.492
oculina,29,281,101.16
oculina,29,336,108.864
oculina,29,396,109.296
oculina,29,461,107.874
oculina,29,531,106.2
oculina,29,611,91.039
oculina,29,701,76.409
oculina,33,0,0
oculina,33,1,0.571
oculina,33,21,10.458
oculina,33,56,24.248
oculina,33,111,39.183
oculina,33,186,47.244
oculina,33,281,47.208
oculina,33,336,45.36
oculina,33,396,43.164
oculina,33,461,35.036
oculina,33,531,35.577
oculina,33,611,0
oculina,33,701,0
oculina,34,0,0
oculina,34,1,0.631
oculina,34,21,11.445
oculina,34,56,26.88
oculina,34,111,41.847
oculina,34,186,53.382
oculina,34,281,58.448
oculina,34,336,57.792
oculina,34,396,55.836
oculina,34,461,50.71
oculina,34,531,46.728
oculina,34,611,0
oculina,34,701,0
